主体,图片链接
Figurine,https://art.nelson-atkins.org/internal/media/dispatcher/51725/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Equestrian_Figure,https://art.nelson-atkins.org/internal/media/dispatcher/26500/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Lampstand,https://art.nelson-atkins.org/internal/media/dispatcher/26465/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Lamp_or_Socket,https://art.nelson-atkins.org/internal/media/dispatcher/51125/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Ornament,https://art.nelson-atkins.org/internal/media/dispatcher/125461/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Flowers_and_Birds_of_Spring,https://art.nelson-atkins.org/internal/media/dispatcher/36967/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
"Ceiling_Panels,_from_Zhihua_Temple,_Beijing,_China",https://art.nelson-atkins.org/internal/media/dispatcher/33498/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
"Gateway_Tile_from_the_Tomb_Compound_of_Prince_Ding,_a_Son_of_the_Qianlong_Emperor",https://art.nelson-atkins.org/internal/media/dispatcher/28987/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Reverent_Monk,https://art.nelson-atkins.org/internal/media/dispatcher/31475/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Kalavinka_Musician,https://art.nelson-atkins.org/internal/media/dispatcher/125465/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Equestrian_Figure,https://art.nelson-atkins.org/internal/media/dispatcher/26501/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Lady_in_Garden,https://art.nelson-atkins.org/internal/media/dispatcher/41253/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
Kalavinka_Musician,https://art.nelson-atkins.org/internal/media/dispatcher/125460/preview;jsessionid=5D38EE006A15DDBA95DECC204E67FA61
